day_of_week,month,meal_slot,scenario,academic_event,is_raining,attendance_pct,actual_attendance
0,1,breakfast,baseline,,0,0.4126,248
0,1,lunch,baseline,,0,0.6714,403
0,1,dinner,baseline,,0,0.8064,484
1,1,breakfast,baseline,,0,0.4031,242
1,1,lunch,baseline,,0,0.6398,384
1,1,dinner,baseline,,0,0.731,439
2,1,breakfast,baseline,,0,0.4193,252
2,1,lunch,baseline,,0,0.6779,407
2,1,dinner,baseline,,0,0.7967,478
3,1,breakfast,baseline,,0,0.4906,294
3,1,lunch,baseline,,0,0.657,394
3,1,dinner,baseline,,0,0.6984,419
4,1,breakfast,baseline,,0,0.4155,249
4,1,lunch,baseline,,0,0.6778,407
4,1,dinner,baseline,,0,0.747,448
5,1,breakfast,weekend,,0,0.2837,170
5,1,lunch,weekend,,0,0.7685,461
5,1,dinner,weekend,,0,0.7736,464
6,1,breakfast,best_menu,,0,0.5183,311
6,1,lunch,best_menu,,0,0.8341,500
6,1,dinner,best_menu,,0,0.9263,556
0,1,breakfast,baseline,,0,0.4655,279
0,1,lunch,baseline,,0,0.7418,445
0,1,dinner,baseline,,0,0.7256,435
1,1,breakfast,baseline,,0,0.4207,252
1,1,lunch,baseline,,0,0.6645,399
1,1,dinner,baseline,,0,0.8177,491
2,1,breakfast,baseline,,0,0.4198,252
2,1,lunch,baseline,,0,0.5916,355
2,1,dinner,baseline,,0,0.789,473
3,1,breakfast,baseline,,0,0.4696,282
3,1,lunch,baseline,,0,0.5996,360
3,1,dinner,baseline,,0,0.7639,458
4,1,breakfast,baseline,,0,0.4579,275
4,1,lunch,baseline,,0,0.6775,406
4,1,dinner,baseline,,0,0.7634,458
5,1,breakfast,weekend,,0,0.3016,181
5,1,lunch,weekend,,0,0.7162,430
5,1,dinner,weekend,,0,0.8229,494
6,1,breakfast,best_menu,,0,0.5197,312
6,1,lunch,best_menu,,0,0.7699,462
6,1,dinner,best_menu,,0,0.854,512
0,1,breakfast,baseline,,0,0.5038,302
0,1,lunch,baseline,,0,0.5895,354
0,1,dinner,baseline,,0,0.8081,485
1,1,breakfast,baseline,,0,0.4379,263
1,1,lunch,baseline,,0,0.6416,385
1,1,dinner,baseline,,0,0.7852,471
2,1,breakfast,baseline,,0,0.4786,287
2,1,lunch,baseline,,0,0.6157,369
2,1,dinner,baseline,,0,0.7223,433
3,1,breakfast,baseline,,0,0.4431,266
3,1,lunch,baseline,,0,0.5687,341
3,1,dinner,baseline,,0,0.682,409
4,1,breakfast,baseline,,0,0.4679,281
4,1,lunch,baseline,,0,0.6405,384
4,1,dinner,baseline,,0,0.7914,475
5,1,breakfast,weekend,,0,0.3038,182
5,1,lunch,weekend,,0,0.735,441
5,1,dinner,weekend,,0,0.7639,458
6,1,breakfast,best_menu,,0,0.5051,303
6,1,lunch,best_menu,,0,0.7768,466
6,1,dinner,best_menu,,0,0.8725,524
0,1,breakfast,baseline,,0,0.4675,281
0,1,lunch,baseline,,0,0.6096,366
0,1,dinner,baseline,,0,0.7507,450
1,1,breakfast,baseline,,0,0.4661,280
1,1,lunch,baseline,,0,0.667,400
1,1,dinner,baseline,,0,0.7441,446
2,1,breakfast,baseline,,0,0.4471,268
2,1,lunch,baseline,,0,0.5478,329
2,1,dinner,baseline,,0,0.6632,398
3,1,breakfast,pre_holiday,pre_holiday,0,0.3834,230
3,1,lunch,pre_holiday,pre_holiday,0,0.43,258
3,1,dinner,pre_holiday,pre_holiday,0,0.487,292
4,1,breakfast,post_holiday,holiday,0,0.4232,254
4,1,lunch,post_holiday,holiday,0,0.5262,316
4,1,dinner,post_holiday,holiday,0,0.6707,402
5,1,breakfast,post_holiday,post_holiday,0,0.377,226
5,1,lunch,post_holiday,post_holiday,0,0.5005,300
5,1,dinner,post_holiday,post_holiday,0,0.6162,370
6,1,breakfast,best_menu,,0,0.4596,276
6,1,lunch,best_menu,,0,0.8278,497
6,1,dinner,best_menu,,0,0.9171,550
0,1,breakfast,baseline,,0,0.3979,239
0,1,lunch,baseline,,0,0.637,382
0,1,dinner,baseline,,0,0.7182,431
1,1,breakfast,baseline,,0,0.4508,270
1,1,lunch,baseline,,0,0.7145,429
1,1,dinner,baseline,,0,0.7356,441
2,1,breakfast,baseline,,0,0.4565,274
2,1,lunch,baseline,,0,0.6445,387
2,1,dinner,baseline,,0,0.8316,499
3,2,breakfast,baseline,,0,0.4628,278
3,2,lunch,baseline,,0,0.7075,424
3,2,dinner,baseline,,0,0.6787,407
4,2,breakfast,baseline,,0,0.4166,250
4,2,lunch,baseline,,0,0.6136,368
4,2,dinner,baseline,,0,0.6674,400
5,2,breakfast,weekend,,0,0.2947,177
5,2,lunch,weekend,,0,0.6176,371
5,2,dinner,weekend,,0,0.7197,432
6,2,breakfast,best_menu,,0,0.5691,341
6,2,lunch,best_menu,,0,0.9278,557
6,2,dinner,best_menu,,0,1.0,600
0,2,breakfast,baseline,,0,0.4144,249
0,2,lunch,baseline,,0,0.5253,315
0,2,dinner,baseline,,0,0.7661,460
1,2,breakfast,baseline,,0,0.435,261
1,2,lunch,baseline,,0,0.6023,361
1,2,dinner,baseline,,0,0.7416,445
2,2,breakfast,baseline,,0,0.4557,273
2,2,lunch,baseline,,0,0.6253,375
2,2,dinner,baseline,,0,0.6879,413
3,2,breakfast,baseline,,0,0.4325,259
3,2,lunch,baseline,,0,0.6306,378
3,2,dinner,baseline,,0,0.8561,514
4,2,breakfast,baseline,,0,0.4854,291
4,2,lunch,baseline,,0,0.608,365
4,2,dinner,baseline,,0,0.6789,407
5,2,breakfast,rain_weekend,,1,0.1884,113
5,2,lunch,rain_weekend,,1,0.7022,421
5,2,dinner,rain_weekend,,1,0.6229,374
6,2,breakfast,best_menu,,0,0.4948,297
6,2,lunch,best_menu,,0,0.8596,516
6,2,dinner,best_menu,,0,0.9277,557
0,2,breakfast,exam,exam,0,0.6479,389
0,2,lunch,exam,exam,0,0.6949,417
0,2,dinner,exam,exam,0,0.8976,539
1,2,breakfast,rain_exam,exam,1,0.5261,316
1,2,lunch,rain_exam,exam,1,0.5985,359
1,2,dinner,rain_exam,exam,1,0.7435,446
2,2,breakfast,exam,exam,0,0.6583,395
2,2,lunch,exam,exam,0,0.7264,436
2,2,dinner,exam,exam,0,0.8865,532
3,2,breakfast,exam,exam,0,0.6614,397
3,2,lunch,exam,exam,0,0.7092,426
3,2,dinner,exam,exam,0,0.9434,566
4,2,breakfast,exam,exam,0,0.7299,438
4,2,lunch,exam,exam,0,0.7441,446
4,2,dinner,exam,exam,0,0.7818,469
5,2,breakfast,exam,exam,0,0.7358,442
5,2,lunch,exam,exam,0,0.8345,501
5,2,dinner,exam,exam,0,0.8542,513
6,2,breakfast,exam,exam,0,0.726,436
6,2,lunch,exam,exam,0,0.6684,401
6,2,dinner,exam,exam,0,0.8046,483
0,2,breakfast,exam,exam,0,0.6295,378
0,2,lunch,exam,exam,0,0.733,440
0,2,dinner,exam,exam,0,0.8553,513
1,2,breakfast,rain_exam,exam,1,0.649,389
1,2,lunch,rain_exam,exam,1,0.6715,403
1,2,dinner,rain_exam,exam,1,0.7711,463
2,2,breakfast,exam,exam,0,0.6475,388
2,2,lunch,exam,exam,0,0.6839,410
2,2,dinner,exam,exam,0,0.7822,469
3,2,breakfast,exam,exam,0,0.6326,380
3,2,lunch,exam,exam,0,0.7871,472
3,2,dinner,exam,exam,0,0.7747,465
4,2,breakfast,baseline,,0,0.4326,260
4,2,lunch,baseline,,0,0.6167,370
4,2,dinner,baseline,,0,0.8102,486
5,2,breakfast,weekend,,0,0.3321,199
5,2,lunch,weekend,,0,0.6913,415
5,2,dinner,weekend,,0,0.7397,444
6,2,breakfast,rain_weekend,,1,0.2039,122
6,2,lunch,rain_weekend,,1,0.6085,365
6,2,dinner,rain_weekend,,1,0.6088,365
0,2,breakfast,baseline,,0,0.4582,275
0,2,lunch,baseline,,0,0.7609,457
0,2,dinner,baseline,,0,0.8626,518
1,2,breakfast,baseline,,0,0.4397,264
1,2,lunch,baseline,,0,0.5592,336
1,2,dinner,baseline,,0,0.7146,429
2,2,breakfast,rain,,1,0.3472,208
2,2,lunch,rain,,1,0.5022,301
2,2,dinner,rain,,1,0.6002,360
3,2,breakfast,baseline,,0,0.4441,266
3,2,lunch,baseline,,0,0.5795,348
3,2,dinner,baseline,,0,0.7182,431
4,3,breakfast,baseline,,0,0.4905,294
4,3,lunch,baseline,,0,0.6286,377
4,3,dinner,baseline,,0,0.6445,387
5,3,breakfast,weekend,,0,0.3511,211
5,3,lunch,weekend,,0,0.6279,377
5,3,dinner,weekend,,0,0.7146,429
6,3,breakfast,best_menu,,0,0.6573,394
6,3,lunch,best_menu,,0,0.725,435
6,3,dinner,best_menu,,0,0.8735,524
0,3,breakfast,baseline,,0,0.5122,307
0,3,lunch,baseline,,0,0.5833,350
0,3,dinner,baseline,,0,0.7353,441
1,3,breakfast,baseline,,0,0.4657,279
1,3,lunch,baseline,,0,0.6143,369
1,3,dinner,baseline,,0,0.742,445
2,3,breakfast,baseline,,0,0.4414,265
2,3,lunch,baseline,,0,0.6198,372
2,3,dinner,baseline,,0,0.7639,458
3,3,breakfast,baseline,,0,0.467,280
3,3,lunch,baseline,,0,0.6846,411
3,3,dinner,baseline,,0,0.7593,456
4,3,breakfast,baseline,,0,0.4519,271
4,3,lunch,baseline,,0,0.6333,380
4,3,dinner,baseline,,0,0.7067,424
5,3,breakfast,rain_weekend,,1,0.1984,119
